id,username,comment,num_of_likes,published_at
9YFbtgNsSeA,@telorceploksambelkecap,"AHKLAK di BUMN hanya retorika, penerapannya hanya sekedar hura hore buang waktu... tidak produktif",0,2025-02-26T01:14:45Z
9YFbtgNsSeA,@bambsvlogcoy7922,Rakyat yg rugi 😂😂,0,2025-02-26T01:15:15Z
9YFbtgNsSeA,@alamtopaniherdiansyah7686,"Bilang nya rugi terus gara2 subsidi, ternyata anjink2 korupsi di dalamnya",0,2025-02-26T01:15:31Z
9YFbtgNsSeA,@OgieSugiarto,"😂 pantesan rugi Melu lluuu,,,saaatnya di hukum mati",0,2025-02-26T01:15:44Z
9YFbtgNsSeA,@dinahdennayah534,Malinhg bikin  susah  rakyat  aja.... Miskinkan.. Biar  jual  minyak  eceran  aka..,0,2025-02-26T01:16:09Z
9YFbtgNsSeA,@frandmolyadi7523,KORUPSI TUMBUH SUBUR DI INDONESIA KARENA PRESIDEN NYA TIDAK SERIUS HANYA OMON OMON DOANG,0,2025-02-26T01:03:47Z
9YFbtgNsSeA,@CahBagus-369,"Pantes aja beli pertalite harus pakai barcode,,terpaksa beli pertamax..ga taunya udah di oplos..
Kayaknya si pembuat aplikasi udah kongkalingkong sama mafia2 minyak..
Mereka ini bukan merugikan personal,,tapi sudah merugikan rakyat indonesia..",0,2025-02-26T01:03:52Z
9YFbtgNsSeA,@Bins-gs8hs,Oo ini yg dibilang gaji harus dinaikkan lagi karena gaji nya terlalu kecil,0,2025-02-26T01:04:02Z
9YFbtgNsSeA,@ahmadel9145,Paling 2 tahun penjara😂,0,2025-02-26T01:04:30Z
9YFbtgNsSeA,@AbiNisaDoel,Sita aja hartanya buat program makanan bergizi,0,2025-02-26T01:04:32Z
9YFbtgNsSeA,@sutamefendy3054,Koruptor di negeri ini kalau hukum mati dan  di  miskin kan g kapok dan terus merajalela  g takut mati nanti di siksa di neraka,0,2025-02-26T01:04:36Z
9YFbtgNsSeA,@arifdarmawan868,Coba hukum mati biar yg lain jera..,0,2025-02-26T01:05:10Z
9YFbtgNsSeA,@irullia7672,"Ngakak 😂😂😂😂😂,,,udah capek gua serah dah KORUPSI AJA SAMPAI INDONESIA HANCUR SEKALIAN...HUKUMAN MATI JUGA CUMA JADI MITOSSS😂😂😂😂",0,2025-02-26T01:05:14Z
9YFbtgNsSeA,@cc_caracerdas,"Sudah terlalu bobrok Indonesia, Alam yg perlu meresetnya,",0,2025-02-26T01:06:36Z
9YFbtgNsSeA,@jarotwiratama7567,Hukuman mati pliss,0,2025-02-26T01:07:26Z
